Dreifaltigkeitssäule;Hauptplatz;4020;Linz;AT;48.305996, 14.286406;
Mader Reisen;Donauradweg;4040;Linz;AT;48.309966, 14.286820;
Neues Rathaus;Hauptstraße 2;4040;Linz;AT;48.309728, 14.283816;
Fa. Mammut;Neubaustraße 13;4400;Steyr;AT;48.030056, 14.417700;
Pfarrplatz;Pfarrplatz;4040;Linz;AT;48.306723, 14.288944;
Postamt;Zaunmüllerstraße 4;4020;Linz;AT;48.284881, 14.305500;
Altstadt Linz;Herrenstraße 13;4020;Linz;AT;48.302677, 14.286698;
OK Offenes Kulturhaus Oberösterreich;OK-Platz 1;4020;Linz;AT;48.302799, 14.290332;
Passage Linz;Landstraße 17-25;4020;Linz;AT;48.303126, 14.289808;
Atrium City Center;Mozartstraße 7;4020;Linz;AT;48.302141, 14.291393;
Ursulinenkirche;LandstraHerrenstraße 26;4020;Linz;AT;48.300936, 14.28666;
Promenadenhof;Promenade 39;4020;Linz;AT;48.303880, 14.283365;
Bundesbildungsanstalt für Kindergartenpädagogik Linz;Lederergasse 32d;4020;Linz;AT;48.307799, 14.296857;
Theater in der Innenstadt;Museumstraße 7a;4020;Linz;AT;48.306038, 14.291048;
Stadtpfarramt Linz;Pfarrpl. 4;4020;Linz;AT;48.306617, 14.288493;
Sputnik Rockcafe;Untere Donaulände 16;4020;Linz;AT;48.308029, 14.289862;
Dorotheum;Fabrikstraße 26;4010;Linz;AT;48.309128, 14.293915;
Eissporthalle;Untere Donaulände 11;4020;Linz;AT;48.311473, 14.295072;
Stadtpart;Huemerstraße;4020;Linz;AT;48.304807, 14.298574;
Musikhaus M.Auzinger, MA-Music;Goethestraße 52;4020;Linz;AT;48.297903, 14.299507;
KunstRaum Goethestrasse;Goethestraße 30;4020;Linz;AT;48.297191, 14.296419;
ARIS Taverna. Ouserie;Scharitzerstraße 7;4020;Linz;AT;48.296010, 14.293808;
